category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime
Cereals and bakery products,Bakery products,1960-11-01,6230.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1960-07-01,6206.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1961-04-01,6207.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1961-03-01,6200.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1961-02-01,6193.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1959-12-01,6200.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1959-10-01,6154.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1959-09-01,6152.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1974-11-01,6000.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1974-12-01,5913.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1974-10-01,5892.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2021-01-01,61675.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1973-12-01,4745.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1973-11-01,4604.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1973-10-01,4483.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1972-12-01,3770.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1972-11-01,3733.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1972-10-01,3709.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1971-12-01,3451.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1971-11-01,3411.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1971-10-01,3394.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1970-12-01,3082.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1970-11-01,2973.0,2024-08-13 09:31:54
