category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime,total_year_profit
Cereals and bakery products,Bakery products,2012-10-01,80840,2024/08/13 09:31:54,966783
Cereals and bakery products,Bakery products,2012-06-01,80768,2024/08/13 09:31:54,966783
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2018-11-01,81846,2024/08/13 09:31:54,962745
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2018-10-01,80888,2024/08/13 09:31:54,962745
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2018-08-01,80762,2024/08/13 09:31:54,962745
Cereals and bakery products,Bakery products,2011-08-01,80815,2024/08/13 09:31:54,956957
Cereals and bakery products,Bakery products,2011-07-01,80693,2024/08/13 09:31:54,956957
Cereals and bakery products,Bakery products,2011-10-01,80659,2024/08/13 09:31:54,956957
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2017-12-01,79304,2024/08/13 09:31:54,925118
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2017-11-01,78430,2024/08/13 09:31:54,925118
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2017-10-01,78155,2024/08/13 09:31:54,925118
Cereals and bakery products,Bakery products,2008-07-01,77500,2024/08/13 09:31:54,921928
Cereals and bakery products,Bakery products,2008-08-01,77459,2024/08/13 09:31:54,921928
Cereals and bakery products,Bakery products,2008-05-01,77355,2024/08/13 09:31:54,921928
Alcoholic beverages,Beer,2020-03-01,82503,2024/08/13 09:31:54,919960
Alcoholic beverages,Beer,2020-08-01,78675,2024/08/13 09:31:54,919960
Alcoholic beverages,Beer,2020-09-01,78580,2024/08/13 09:31:54,919960
Cereals and bakery products,Bakery products,2009-01-01,77204,2024/08/13 09:31:54,916213
Cereals and bakery products,Bakery products,2009-02-01,76768,2024/08/13 09:31:54,916213
Cereals and bakery products,Bakery products,2009-03-01,76766,2024/08/13 09:31:54,916213
Cereals and bakery products,Bakery products,2010-11-01,76709,2024/08/13 09:31:54,906860
Cereals and bakery products,Bakery products,2010-02-01,76579,2024/08/13 09:31:54,906860
Cereals and bakery products,Bakery products,2010-12-01,76141,2024/08/13 09:31:54,906860
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2016-06-01,75500,2024/08/13 09:31:54,899776
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2016-10-01,75343,2024/08/13 09:31:54,899776
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2016-07-01,75278,2024/08/13 09:31:54,899776
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2015-12-01,74236,2024/08/13 09:31:54,877567
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2015-09-01,73894,2024/08/13 09:31:54,877567
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2015-11-01,73715,2024/08/13 09:31:54,877567
Cereals and bakery products,Bakery products,2007-12-01,75442,2024/08/13 09:31:54,875345
Cereals and bakery products,Bakery products,2007-11-01,75122,2024/08/13 09:31:54,875345
Cereals and bakery products,Bakery products,2007-10-01,73910,2024/08/13 09:31:54,875345
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2008-05-01,72231,2024/08/13 09:31:54,857796
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2008-06-01,72211,2024/08/13 09:31:54,857796
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2008-07-01,72151,2024/08/13 09:31:54,857796
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2014-11-01,72213,2024/08/13 09:31:54,854295
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2014-10-01,72073,2024/08/13 09:31:54,854295
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2014-12-01,72039,2024/08/13 09:31:54,854295
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2007-12-01,71667,2024/08/13 09:31:54,845836
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2007-11-01,71573,2024/08/13 09:31:54,845836
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2007-10-01,71142,2024/08/13 09:31:54,845836
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2012-03-01,71061,2024/08/13 09:31:54,844684
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2012-04-01,70806,2024/08/13 09:31:54,844684
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2012-02-01,70768,2024/08/13 09:31:54,844684
Cereals and bakery products,Bakery products,2006-12-01,71612,2024/08/13 09:31:54,842445
